sample,ShearStrength,Compressivestrengthofconcrete,ShearStressrange,Size,BeamTest,DirectShearTest,PushOutTest,AdhesiveAnchor,BlindBoltShearConnector,ChannelConnectors,ClusterStud,CorrodedStud,DoubleNutBolt,HASEAdhesiveAnchor,HighTensionFrictionGripBolt,LConnectors,Perfobondrib,Perfobondribgroup,Perforatedshearconnector,PostInstalledWeldedStud,PuzzleStrip,Stud,TheCoiledSpringPin,WedgeBoltConcreteScrew,Ytypeperfobondrib,cycle
517,0.64906903,1.383309536,-2.710214305,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.555095779
518,0.64906903,0.832003443,-2.710214305,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.644931003
519,0.64906903,0.859426902,-2.710214305,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.54641939
520,-0.901539552,-1.094258155,1.222643299,-1.854203407,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
521,-0.901539552,-1.264472729,1.222643299,-1.854203407,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.505149978
522,-0.901539552,-0.649808989,-0.820640537,-1.854203407,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.361727836
523,-0.901539552,-0.744372641,-0.820640537,-1.854203407,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.322219295
524,-0.901539552,-1.737290991,-1.842017438,-1.854203407,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.832508913
525,-0.901539552,-1.661640069,-1.842017438,-1.854203407,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.892094603
526,-0.901539552,-1.264472729,0.19914626,-1.854203407,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.424881637
527,-0.901539552,-1.094258155,0.19914626,-1.854203407,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.681241237
528,0.789205809,1.099618579,0.19914626,-0.628061857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.653212514
529,0.789205809,1.099618579,0.19914626,-0.628061857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.781855861
530,0.789205809,1.099618579,0.19914626,-0.628061857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.088938349
531,0.789205809,1.099618579,0.19914626,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.653212514
532,0.789205809,1.099618579,0.19914626,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.329496932
533,0.789205809,1.099618579,0.19914626,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.795554696
